               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.024975,            0.014759,           0.0011018,             0.66956,             0.62553,             0.57618,              0.2226,            0.049222,            0.026752,            0.002902,            0.004192,            0.004192,            0.004192
                  90,            0.023936,            0.017533,           0.0012263,             0.72883,             0.58404,             0.55216,             0.20953,            0.051754,            0.026868,           0.0029781,            0.004126,            0.004126,            0.004126
                  91,            0.023282,            0.016155,           0.0013532,             0.71119,             0.50575,             0.52721,             0.21329,            0.048606,            0.027281,            0.002972,             0.00406,             0.00406,             0.00406
                  92,            0.024184,            0.013496,           0.0011528,             0.67842,             0.53627,             0.50708,             0.21021,            0.047765,            0.028058,             0.00344,            0.003994,            0.003994,            0.003994
                  93,            0.023404,            0.016664,           0.0011984,             0.68178,             0.50443,             0.49609,             0.21803,             0.04796,            0.027407,           0.0029689,            0.003928,            0.003928,            0.003928
                  94,             0.02293,            0.015468,             0.00121,             0.69062,             0.52652,             0.50891,              0.2093,            0.048533,            0.027191,           0.0028688,            0.003862,            0.003862,            0.003862
                  95,            0.023297,            0.013865,           0.0011997,             0.75819,             0.47833,             0.52796,             0.22187,            0.048267,            0.026762,           0.0019383,            0.003796,            0.003796,            0.003796
                  96,            0.022819,             0.01605,            0.001399,              0.6295,             0.56258,             0.55196,             0.21854,             0.04842,             0.02692,           0.0022361,             0.00373,             0.00373,             0.00373
                  97,            0.021463,            0.015308,           0.0011402,              0.6696,             0.56234,             0.55234,             0.21744,            0.048834,            0.027439,           0.0025199,            0.003664,            0.003664,            0.003664
                  98,            0.022118,            0.016499,           0.0012679,             0.62563,             0.57841,             0.53914,             0.22567,            0.048291,            0.027468,           0.0028482,            0.003598,            0.003598,            0.003598
                  99,            0.022492,            0.015097,           0.0012548,             0.62212,             0.51137,             0.50142,              0.2117,            0.049388,            0.028153,           0.0036369,            0.003532,            0.003532,            0.003532
                 100,            0.022089,            0.015052,           0.0012621,             0.63612,             0.45533,             0.46562,             0.19821,            0.050119,            0.029057,            0.003827,            0.003466,            0.003466,            0.003466
                 101,            0.020501,            0.014284,           0.0013482,             0.53733,             0.50726,              0.4587,             0.20196,            0.048839,            0.029022,           0.0037791,              0.0034,              0.0034,              0.0034
                 102,            0.022855,            0.015696,           0.0011364,             0.52457,             0.50625,             0.43399,             0.20385,            0.048621,            0.028831,           0.0039125,            0.003334,            0.003334,            0.003334
                 103,            0.022169,            0.014679,           0.0010339,             0.72275,              0.4599,             0.47668,             0.22224,            0.047783,            0.028718,           0.0040919,            0.003268,            0.003268,            0.003268
                 104,            0.019916,            0.013356,           0.0011096,             0.58168,             0.50441,             0.48443,             0.21246,            0.048545,            0.028418,           0.0035688,            0.003202,            0.003202,            0.003202
                 105,            0.020918,            0.014782,           0.0010134,             0.62426,             0.57965,             0.52536,             0.23076,            0.048586,            0.028393,            0.003579,            0.003136,            0.003136,            0.003136
                 106,            0.021499,            0.015998,           0.0010676,             0.66099,             0.56469,             0.52949,             0.23242,            0.048584,            0.028258,           0.0034838,             0.00307,             0.00307,             0.00307
                 107,            0.020387,            0.014536,           0.0012257,             0.65959,             0.53196,             0.51189,             0.23738,            0.048038,            0.028391,           0.0033536,            0.003004,            0.003004,            0.003004
                 108,            0.019936,            0.014868,          0.00096023,             0.66206,             0.54975,             0.50775,             0.22929,            0.047811,            0.028575,           0.0032882,            0.002938,            0.002938,            0.002938
                 109,            0.021409,            0.015541,          0.00095469,              0.6709,             0.55451,             0.51287,             0.23924,            0.047353,              0.0286,           0.0034009,            0.002872,            0.002872,            0.002872
                 110,            0.020254,            0.014941,           0.0009743,             0.63524,             0.53517,             0.52273,             0.23869,            0.046601,            0.028757,           0.0033454,            0.002806,            0.002806,            0.002806
                 111,            0.017881,            0.012737,           0.0011476,             0.68153,             0.56356,             0.51841,             0.23078,             0.04726,            0.029196,           0.0032356,             0.00274,             0.00274,             0.00274
                 112,            0.019064,            0.013354,          0.00094384,             0.66913,             0.56446,             0.51498,             0.23421,            0.047631,            0.029305,           0.0029463,            0.002674,            0.002674,            0.002674
                 113,            0.018815,            0.014847,            0.000842,             0.63685,             0.54882,             0.51904,             0.22111,            0.047789,             0.02907,           0.0025534,            0.002608,            0.002608,            0.002608
                 114,             0.01923,            0.013962,          0.00086804,             0.62807,             0.55872,             0.51891,             0.22809,            0.047864,             0.02937,           0.0028555,            0.002542,            0.002542,            0.002542
                 115,            0.018999,            0.013111,          0.00082284,             0.72892,             0.53212,             0.53128,             0.23424,            0.048345,            0.029129,           0.0030489,            0.002476,            0.002476,            0.002476
                 116,            0.020629,            0.014085,          0.00081372,             0.69467,             0.56174,             0.53669,             0.23163,            0.047795,             0.02962,           0.0029609,             0.00241,             0.00241,             0.00241
                 117,            0.017522,            0.012332,          0.00076312,             0.66658,             0.55739,             0.53939,             0.22765,            0.047993,            0.029639,           0.0029006,            0.002344,            0.002344,            0.002344
                 118,             0.01772,            0.012457,          0.00082601,             0.70458,              0.5432,             0.52579,             0.22277,            0.048433,            0.029657,           0.0026644,            0.002278,            0.002278,            0.002278
                 119,             0.01768,            0.012824,          0.00080788,             0.71859,             0.54144,             0.53017,             0.22734,            0.048056,            0.029654,           0.0025359,            0.002212,            0.002212,            0.002212
                 120,            0.017823,             0.01326,          0.00081865,             0.71635,             0.55329,             0.54182,             0.23182,            0.048124,            0.029546,            0.002704,            0.002146,            0.002146,            0.002146
                 121,             0.01723,            0.014293,          0.00088429,             0.70849,              0.5529,             0.52647,             0.23654,            0.047219,            0.029455,            0.002666,             0.00208,             0.00208,             0.00208
                 122,            0.018905,            0.014145,          0.00076459,             0.62552,             0.60515,             0.53105,             0.23854,            0.046963,            0.029346,           0.0025387,            0.002014,            0.002014,            0.002014
                 123,            0.017646,            0.015049,          0.00082774,             0.62654,             0.59932,             0.53795,             0.25394,            0.046792,            0.029093,           0.0025602,            0.001948,            0.001948,            0.001948
                 124,            0.017576,            0.012813,           0.0008344,             0.62891,             0.59952,             0.53836,             0.25179,            0.046752,            0.029031,            0.002649,            0.001882,            0.001882,            0.001882
                 125,            0.017587,            0.015434,          0.00076166,             0.79298,             0.59071,             0.58659,             0.25604,            0.046709,            0.028991,            0.002676,            0.001816,            0.001816,            0.001816
                 126,            0.016415,            0.014115,          0.00097879,             0.72675,             0.59768,             0.58028,             0.25273,            0.047055,            0.029371,           0.0026726,             0.00175,             0.00175,             0.00175
                 127,            0.016055,            0.012314,          0.00077393,             0.67816,             0.61505,             0.55667,             0.24674,             0.04719,            0.029366,           0.0026371,            0.001684,            0.001684,            0.001684
                 128,            0.016478,            0.014154,          0.00077044,             0.59224,             0.60561,             0.54947,              0.2319,            0.047575,             0.02936,           0.0025013,            0.001618,            0.001618,            0.001618
                 129,            0.015902,             0.01257,          0.00074606,             0.62062,             0.61607,             0.55324,             0.24151,            0.046916,            0.029249,            0.002425,            0.001552,            0.001552,            0.001552
                 130,            0.017592,            0.013663,          0.00081112,             0.77836,             0.61031,             0.57455,             0.25136,            0.046644,            0.029051,           0.0026246,            0.001486,            0.001486,            0.001486
                 131,            0.017888,            0.013582,          0.00094627,             0.75345,             0.58871,             0.55157,             0.24466,            0.047671,            0.029258,           0.0026326,             0.00142,             0.00142,             0.00142
                 132,             0.01633,            0.013194,          0.00068819,             0.75644,             0.58356,              0.5588,             0.24981,            0.046984,            0.029248,           0.0025044,            0.001354,            0.001354,            0.001354
                 133,            0.016209,            0.011817,          0.00079916,              0.6849,             0.61529,             0.57397,             0.24767,            0.046677,            0.029392,           0.0021458,            0.001288,            0.001288,            0.001288
                 134,             0.01594,            0.013775,          0.00075276,             0.72788,             0.56073,             0.58655,             0.24402,            0.047026,            0.029506,            0.002219,            0.001222,            0.001222,            0.001222
                 135,            0.015758,            0.012442,          0.00066528,             0.59998,             0.62746,             0.57857,             0.24562,            0.046411,            0.029619,           0.0020883,            0.001156,            0.001156,            0.001156
                 136,            0.015284,            0.012401,          0.00072894,             0.64519,             0.59891,             0.56094,             0.24814,            0.046471,            0.029882,           0.0020279,             0.00109,             0.00109,             0.00109
                 137,            0.015615,            0.013652,          0.00072398,             0.67291,              0.5714,             0.55593,             0.24815,            0.046536,            0.029935,           0.0019661,            0.001024,            0.001024,            0.001024
                 138,            0.015121,            0.013772,          0.00065544,             0.69139,             0.54759,             0.55398,             0.24875,            0.046428,             0.03006,            0.002003,            0.000958,            0.000958,            0.000958
                 139,            0.015486,            0.012885,          0.00062297,             0.70271,             0.54197,             0.54003,             0.24418,            0.046958,            0.030131,           0.0020123,            0.000892,            0.000892,            0.000892
                 140,            0.014792,            0.012876,          0.00064299,             0.64628,             0.55036,             0.53339,             0.24467,            0.047058,            0.030304,           0.0019744,            0.000826,            0.000826,            0.000826
                 141,            0.014973,            0.012331,          0.00091728,             0.62788,             0.58865,             0.52221,             0.23913,            0.046997,            0.030366,           0.0019938,             0.00076,             0.00076,             0.00076
                 142,            0.014269,             0.01192,          0.00056988,             0.62856,             0.59532,             0.53707,             0.24272,             0.04717,            0.030408,           0.0020066,            0.000694,            0.000694,            0.000694
                 143,            0.013999,            0.011893,          0.00057992,             0.67698,             0.59582,             0.55306,             0.24614,            0.047177,            0.030533,           0.0020272,            0.000628,            0.000628,            0.000628
                 144,            0.013906,            0.012551,          0.00075018,             0.68087,              0.5813,             0.54761,             0.25262,            0.047164,            0.030505,           0.0020746,            0.000562,            0.000562,            0.000562
